Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
72,73,0.0,68,8,66,0,Green
76,68,0.0,68,6,66,0,Green
59,70,0.0,68,5,67,0,Green
60,68,0.0,68,6,66,0,Green
69,63,0.0,71,4,68,0,Green
69,65,0.0,71,5,68,0,Green
100,87,0.05,68,12,66,0,Green
28,71,0.0,73,3,73,0,Green
60,73,0.0,69,5,68,0,Green
82,87,0.03,77,7,77,1,Yellow
52,100,0.01,75,7,76,0,Green
98,96,0.06,69,8,70,0,Green
97,100,0.08,71,7,71,0,Green
91,100,0.04,73,6,73,0,Green
98,87,0.04,73,8,72,0,Green
99,81,0.03,73,7,70,0,Green
92,69,0.0,77,6,73,0,Green
88,93,0.07,73,6,74,0,Green
87,81,0.05,75,7,74,0,Green
70,66,0.0,77,9,74,0,Green
100,93,0.11,66,8,66,0,Green
73,58,0.0,77,7,73,0,Green
81,58,0.0,78,5,73,0,Green
90,81,0.05,73,7,71,0,Green
99,87,0.06,73,7,71,0,Green
83,90,0.08,75,5,76,0,Green
86,90,0.04,77,5,76,0,Green
29,59,0.0,84,6,81,1,Yellow
61,76,0.0,80,4,79,1,Yellow
30,65,0.0,82,6,80,1,Yellow
34,67,0.03,82,5,81,1,Yellow
37,62,0.04,82,6,80,1,Yellow
30,65,0.0,82,6,80,1,Yellow
52,84,0.05,78,6,79,1,Yellow
17,79,0.03,77,7,78,1,Yellow
24,79,0.01,78,5,79,1,Yellow
30,74,0.01,78,7,78,1,Yellow
92,79,0.04,75,6,73,0,Green
97,87,0.03,68,6,67,0,Green
100,100,0.33,66,7,66,0,Green
93,84,0.18,68,19,67,0,Green
72,71,0.0,73,14,71,0,Green
99,100,0.4,66,8,66,0,Green
95,90,0.08,66,10,66,0,Green
1,42,0.0,80,5,74,0,Green
2,42,0.0,80,5,74,0,Green
45,61,0.0,73,15,70,0,Green
12,58,0.0,82,5,79,1,Yellow
17,62,0.0,80,5,78,1,Yellow
13,69,0.0,80,6,78,1,Yellow
13,69,0.0,77,7,76,0,Green
12,62,0.0,82,5,79,1,Yellow
11,58,0.0,82,5,79,1,Yellow
12,62,0.0,82,5,79,1,Yellow
46,76,0.0,71,7,71,0,Green
11,55,0.0,86,7,81,1,Yellow
2,59,0.0,84,8,81,1,Yellow
17,59,0.0,84,6,81,1,Yellow
21,64,0.0,80,8,79,1,Yellow
18,60,0.0,82,7,80,1,Yellow
13,58,0.0,82,9,79,1,Yellow
1,60,0.0,82,8,80,1,Yellow
16,64,0.0,80,8,78,1,Yellow
12,57,0.0,84,5,81,1,Yellow
15,65,0.02,84,6,82,2,Orange
15,59,0.0,84,6,81,1,Yellow
18,64,0.0,78,9,77,1,Yellow
71,65,0.0,84,11,79,1,Yellow
13,60,0.0,82,9,79,1,Yellow
2,65,0.0,82,8,80,1,Yellow
11,69,0.0,82,10,80,1,Yellow
68,61,0.0,84,8,81,1,Yellow
74,67,0.0,86,7,83,2,Orange
11,56,0.0,84,10,79,1,Yellow
39,59,0.0,84,9,81,1,Yellow
81,78,0.0,73,12,71,0,Green
93,73,0.0,71,12,69,0,Green
63,54,0.0,80,11,76,0,Green
25,55,0.0,86,11,81,1,Yellow
97,93,0.03,64,10,63,0,Green
79,70,0.09,86,9,83,2,Orange
75,77,0.42,87,7,86,3,Red
46,66,0.02,91,9,89,4,Black
58,68,0.12,89,8,87,4,Black
58,75,0.32,89,7,87,4,Black
60,80,0.2,86,8,86,3,Red
22,77,0.0,89,9,87,4,Black
38,82,0.3,87,11,88,4,Black
66,70,0.09,89,9,86,3,Red
55,70,0.03,89,8,87,4,Black
63,75,0.22,87,7,86,3,Red
60,77,0.2,86,8,86,3,Red
64,75,0.26,87,7,86,3,Red
31,80,0.01,89,11,88,4,Black
37,72,0.01,91,11,90,4,Black
63,77,0.49,87,9,86,3,Red
36,80,0.01,89,11,88,4,Black
43,66,0.02,93,9,90,4,Black
47,75,0.02,89,9,88,4,Black
51,72,0.13,89,9,87,4,Black
64,75,0.3,87,6,86,3,Red
24,72,0.0,91,8,89,4,Black
23,72,0.0,91,8,89,4,Black
20,59,0.0,86,14,80,1,Yellow
11,61,0.0,84,15,80,1,Yellow
9,51,0.0,89,10,83,2,Orange
53,77,0.39,87,9,87,4,Black
64,77,0.66,87,9,87,4,Black
59,75,1.32,89,10,87,4,Black
41,72,0.18,89,9,88,4,Black
59,80,1.05,86,12,85,3,Red
23,72,0.0,89,8,88,4,Black
58,72,0.06,87,7,86,3,Red
65,68,0.04,91,7,87,4,Black
27,66,0.0,91,9,89,4,Black
4,18,0.0,91,8,76,0,Green
2,28,0.0,93,5,81,1,Yellow
3,27,0.0,93,5,82,2,Orange
0,30,0.0,91,6,80,1,Yellow
44,36,0.0,95,2,85,3,Red
6,33,0.0,86,9,78,1,Yellow
2,50,0.0,89,5,84,2,Orange
54,53,0.0,89,5,83,2,Orange
3,46,0.0,91,4,84,2,Orange
3,39,0.0,89,6,81,1,Yellow
2,29,0.0,93,5,82,2,Orange
3,29,0.0,84,8,74,0,Green
1,43,0.0,89,8,81,1,Yellow
2,48,0.0,86,9,80,1,Yellow
45,37,0.0,84,7,75,0,Green
45,37,0.0,84,7,75,0,Green
0,54,0.0,84,9,79,1,Yellow
4,51,0.0,86,8,80,1,Yellow
0,53,0.0,86,11,80,1,Yellow
2,53,0.0,84,11,79,1,Yellow
4,46,0.0,86,8,79,1,Yellow
26,45,0.0,84,9,77,1,Yellow
6,8,0.0,113,7,89,4,Black
4,8,0.0,109,11,86,3,Red
19,16,0.0,86,11,71,0,Green
2,7,0.0,113,5,88,4,Black
6,11,0.0,102,12,80,1,Yellow
7,11,0.0,98,14,77,1,Yellow
6,11,0.0,102,12,81,1,Yellow
6,12,0.0,100,12,80,1,Yellow
6,8,0.0,105,5,83,2,Orange
3,8,0.0,109,3,86,3,Red
3,8,0.0,111,8,86,3,Red
6,14,0.0,95,5,77,1,Yellow
4,9,0.0,109,10,85,3,Red
5,10,0.0,109,9,86,3,Red
4,10,0.0,111,9,87,4,Black
5,8,0.0,114,6,89,4,Black
3,10,0.0,104,13,82,2,Orange
3,8,0.0,111,7,87,4,Black
5,9,0.0,111,7,88,4,Black
3,8,0.0,109,3,86,3,Red
5,9,0.0,113,7,88,4,Black
6,9,0.0,113,6,88,4,Black
4,9,0.0,113,6,88,4,Black
5,9,0.0,113,6,88,4,Black
5,9,0.0,111,7,87,4,Black
6,10,0.0,109,9,85,3,Red
6,12,0.0,100,13,79,1,Yellow
4,11,0.0,104,12,82,2,Orange
6,9,0.0,100,13,77,1,Yellow
6,8,0.0,104,10,81,1,Yellow
3,16,0.0,104,9,84,2,Orange
6,14,0.0,91,10,75,0,Green
3,14,0.0,93,14,75,0,Green
17,18,0.0,89,3,75,0,Green
46,27,0.0,78,7,67,0,Green
3,25,0.0,89,6,77,1,Yellow
19,17,0.0,87,7,72,0,Green
8,14,0.0,93,5,76,0,Green
7,18,0.0,86,13,70,0,Green
4,15,0.0,93,7,76,0,Green
20,16,0.0,91,7,75,0,Green
16,18,0.0,87,6,73,0,Green
30,15,0.0,86,7,70,0,Green
3,19,0.0,86,5,72,0,Green
10,17,0.0,89,6,75,0,Green
10,17,0.0,89,6,75,0,Green
3,28,0.0,84,9,73,0,Green
8,18,0.0,86,12,70,0,Green
9,15,0.0,93,6,75,0,Green
5,14,0.0,91,3,75,0,Green
4,14,0.0,89,9,72,0,Green
5,12,0.0,102,3,82,2,Orange
1,17,0.0,89,2,74,0,Green
6,14,0.0,93,5,76,0,Green
3,18,0.0,89,6,74,0,Green
3,15,0.0,89,3,73,0,Green
6,12,0.0,89,3,73,0,Green
5,22,0.0,80,15,68,0,Green
9,13,0.0,86,6,70,0,Green
6,17,0.0,87,11,72,0,Green
3,20,0.0,86,10,72,0,Green
0,19,0.0,89,3,75,0,Green
0,17,0.0,87,7,73,0,Green
3,18,0.0,86,5,73,0,Green
2,20,0.0,84,5,71,0,Green
79,69,0.0,60,5,58,0,Green
76,72,0.0,59,3,57,0,Green
76,86,0.0,55,8,54,0,Green
29,29,0.0,78,4,69,0,Green
65,68,0.0,69,3,67,0,Green
54,53,0.0,71,3,67,0,Green
37,55,0.0,71,3,68,0,Green
28,53,0.0,73,4,68,0,Green
1,28,0.0,86,5,75,0,Green
5,21,0.0,84,7,71,0,Green
30,53,0.0,86,16,79,1,Yellow
37,51,0.02,87,14,80,1,Yellow
30,48,0.0,86,4,80,1,Yellow
36,56,0.02,80,7,76,0,Green
37,51,0.02,87,14,80,1,Yellow
45,75,0.0,66,8,65,0,Green
47,65,0.0,68,6,65,0,Green
46,65,0.0,69,5,66,0,Green
49,63,0.0,69,6,66,0,Green
70,59,0.0,73,5,68,0,Green
69,63,0.0,71,6,67,0,Green
100,93,0.07,68,12,66,0,Green
45,62,0.0,77,4,73,0,Green
55,68,0.0,71,5,67,0,Green
81,87,0.03,77,7,76,0,Green
58,90,0.0,77,6,77,1,Yellow
96,93,0.12,71,8,70,0,Green
97,96,0.06,71,8,70,0,Green
88,96,0.05,73,7,72,0,Green
92,87,0.04,75,9,73,0,Green
91,73,0.03,75,6,71,0,Green
89,62,0.0,78,5,73,0,Green
88,90,0.04,75,5,74,0,Green
83,87,0.05,75,7,74,0,Green
85,66,0.0,77,8,72,0,Green
91,100,0.19,66,6,66,0,Green
88,59,0.0,77,6,71,0,Green
88,57,0.0,77,5,72,0,Green
96,81,0.12,73,6,71,0,Green
91,87,0.05,73,7,71,0,Green
76,90,0.05,75,5,75,0,Green
81,84,0.07,77,5,76,0,Green
26,54,0.0,84,7,78,1,Yellow
50,71,0.04,82,5,79,1,Yellow
12,60,0.0,82,6,78,1,Yellow
22,62,0.01,82,5,78,1,Yellow
52,58,0.0,84,7,78,1,Yellow
12,60,0.0,82,6,78,1,Yellow
56,79,0.0,80,6,78,1,Yellow
26,71,0.0,80,7,77,1,Yellow
84,69,0.0,80,5,76,0,Green
71,64,0.0,80,7,76,0,Green
98,73,0.01,77,6,73,0,Green
99,78,0.16,71,6,69,0,Green
99,90,0.29,68,7,67,0,Green
93,87,0.05,68,19,67,0,Green
77,78,0.0,71,14,69,0,Green
97,100,0.02,68,8,67,0,Green
94,81,0.1,71,10,68,0,Green
2,34,0.0,84,6,73,0,Green
3,34,0.0,84,6,73,0,Green
17,61,0.0,73,16,69,0,Green
9,56,0.0,84,5,78,1,Yellow
18,56,0.0,82,6,77,1,Yellow
26,62,0.0,80,6,77,1,Yellow
59,62,0.0,80,7,75,0,Green
9,58,0.0,82,6,78,1,Yellow
9,54,0.0,84,6,78,1,Yellow
10,54,0.0,84,5,78,1,Yellow
89,73,0.0,73,8,69,0,Green
11,55,0.0,86,8,80,1,Yellow
11,56,0.0,86,8,80,1,Yellow
13,53,0.0,86,7,80,1,Yellow
11,58,0.0,82,8,77,1,Yellow
10,56,0.0,84,7,78,1,Yellow
6,54,0.0,84,9,78,1,Yellow
2,56,0.0,84,7,79,1,Yellow
7,58,0.0,82,8,78,1,Yellow
10,54,0.0,84,6,79,1,Yellow
13,60,0.0,86,7,81,1,Yellow
13,55,0.0,86,6,80,1,Yellow
40,60,0.0,80,9,76,0,Green
53,67,0.0,84,11,79,1,Yellow
23,56,0.0,84,9,79,1,Yellow
5,60,0.0,84,8,79,1,Yellow
19,71,0.0,82,11,79,1,Yellow
49,59,0.0,86,9,82,2,Orange
70,72,0.0,86,8,83,2,Orange
22,51,0.0,86,10,79,1,Yellow
43,55,0.0,86,9,81,1,Yellow
72,78,0.0,73,9,72,0,Green
76,63,0.0,75,9,70,0,Green
30,49,0.0,84,10,77,1,Yellow
23,51,0.0,86,11,80,1,Yellow
98,86,0.03,66,10,64,0,Green
68,67,0.05,89,10,83,2,Orange
80,72,0.05,89,7,84,2,Orange
56,63,0.04,91,9,86,3,Red
76,67,0.65,89,9,85,3,Red
55,74,0.28,87,7,84,2,Orange
66,77,0.39,86,9,84,2,Orange
14,72,0.0,91,7,87,4,Black
40,79,0.05,89,11,86,3,Red
66,65,0.35,91,9,85,3,Red
67,63,0.11,93,7,87,4,Black
62,67,0.17,89,8,85,3,Red
71,77,0.3,86,9,83,2,Orange
60,70,0.23,89,7,85,3,Red
33,74,0.01,89,12,86,3,Red
41,70,0.03,91,12,87,4,Black
60,77,0.7,87,9,84,2,Orange
56,79,0.1,89,12,86,3,Red
67,63,0.15,93,8,87,4,Black
50,72,0.14,91,9,87,4,Black
43,67,0.04,89,8,85,3,Red
54,74,0.12,86,7,84,2,Orange
15,75,0.0,91,6,88,4,Black
14,70,0.0,91,6,88,4,Black
17,59,0.0,86,14,79,1,Yellow
39,59,0.0,86,14,78,1,Yellow
24,55,0.0,87,9,80,1,Yellow
61,79,0.3,86,9,84,2,Orange
43,79,0.12,86,9,85,3,Red
35,77,0.25,87,10,85,3,Red
28,65,0.03,91,10,87,4,Black
34,79,0.15,86,12,84,2,Orange
16,74,0.0,89,6,85,3,Red
81,67,0.48,89,7,84,2,Orange
81,74,0.17,87,7,84,2,Orange
20,65,0.0,91,9,87,4,Black
8,15,0.0,95,10,76,0,Green
2,28,0.0,93,5,80,1,Yellow
3,23,0.0,96,5,81,1,Yellow
2,31,0.0,91,6,79,1,Yellow
22,31,0.0,96,3,84,2,Orange
6,30,0.0,89,9,76,0,Green
2,50,0.0,89,6,82,2,Orange
41,55,0.0,89,6,82,2,Orange
0,47,0.0,91,5,83,2,Orange
3,39,0.0,89,6,79,1,Yellow
2,29,0.0,93,5,80,1,Yellow
5,24,0.0,86,8,73,0,Green
0,42,0.0,89,8,79,1,Yellow
2,46,0.0,89,9,80,1,Yellow
45,33,0.0,87,7,76,0,Green
45,33,0.0,87,7,76,0,Green
0,56,0.0,84,8,77,1,Yellow
1,50,0.0,87,7,79,1,Yellow
0,51,0.0,86,10,78,1,Yellow
1,53,0.0,86,10,78,1,Yellow
2,46,0.0,86,8,78,1,Yellow
16,46,0.0,84,9,75,0,Green
7,8,0.0,114,6,87,4,Black
5,10,0.0,109,10,83,2,Orange
26,17,0.0,86,9,68,0,Green
3,8,0.0,113,5,86,3,Red
9,11,0.0,102,12,78,1,Yellow
7,12,0.0,96,15,75,0,Green
6,11,0.0,104,13,79,1,Yellow
6,12,0.0,100,11,77,1,Yellow
9,8,0.0,107,7,82,2,Orange
8,8,0.0,111,5,85,3,Red
6,9,0.0,111,10,85,3,Red
7,13,0.0,96,6,75,0,Green
7,11,0.0,107,9,82,2,Orange
6,10,0.0,111,7,85,3,Red
6,10,0.0,109,9,84,2,Orange
9,8,0.0,116,7,88,4,Black
5,12,0.0,102,13,79,1,Yellow
4,9,0.0,113,7,86,3,Red
6,10,0.0,113,8,86,3,Red
8,8,0.0,111,5,85,3,Red
6,9,0.0,113,6,86,3,Red
8,9,0.0,113,6,86,3,Red
5,9,0.0,114,5,87,4,Black
8,9,0.0,113,5,87,4,Black
7,9,0.0,111,6,84,2,Orange
7,10,0.0,109,8,84,2,Orange
8,12,0.0,98,12,76,0,Green
7,12,0.0,102,11,79,1,Yellow
8,10,0.0,98,12,75,0,Green
10,9,0.0,104,10,79,1,Yellow
5,15,0.0,104,12,82,2,Orange
10,13,0.0,91,11,73,0,Green
8,14,0.0,93,14,74,0,Green
32,17,0.0,91,3,73,0,Green
48,28,0.0,78,8,65,0,Green
5,22,0.0,91,6,75,0,Green
24,15,0.0,89,7,71,0,Green
26,12,0.0,95,5,74,0,Green
15,18,0.0,86,12,69,0,Green
8,14,0.0,93,7,75,0,Green
31,15,0.0,93,8,73,0,Green
29,17,0.0,89,5,71,0,Green
45,15,0.0,86,7,69,0,Green
8,17,0.0,89,7,71,0,Green
13,15,0.0,93,5,74,0,Green
13,15,0.0,93,5,74,0,Green
6,24,0.0,86,9,72,0,Green
10,17,0.0,86,10,69,0,Green
18,14,0.0,93,7,73,0,Green
6,14,0.0,91,3,73,0,Green
11,13,0.0,89,9,70,0,Green
7,10,0.0,104,6,81,1,Yellow
5,13,0.0,93,2,74,0,Green
8,12,0.0,95,6,75,0,Green
4,16,0.0,91,5,73,0,Green
5,16,0.0,89,3,72,0,Green
11,11,0.0,91,3,71,0,Green
4,20,0.0,80,14,65,0,Green
11,12,0.0,89,6,69,0,Green
10,15,0.0,89,11,70,0,Green
4,18,0.0,86,9,69,0,Green
1,16,0.0,93,4,75,0,Green
1,13,0.0,91,3,73,0,Green
7,15,0.0,89,6,71,0,Green
5,16,0.0,86,5,69,0,Green
2,9,0.0,105,7,81,1,Yellow
5,7,0.0,102,12,76,0,Green
3,12,0.0,89,9,70,0,Green
4,12,0.0,91,8,71,0,Green
8,9,0.0,107,6,82,2,Orange
3,12,0.0,89,5,69,0,Green
7,11,0.0,93,10,72,0,Green
4,8,0.0,96,10,73,0,Green
10,11,0.0,96,11,74,0,Green
4,11,0.0,102,12,79,1,Yellow
5,10,0.0,98,12,76,0,Green
5,8,0.0,107,5,82,2,Orange
7,12,0.0,91,9,71,0,Green
3,12,0.0,89,9,70,0,Green
30,74,0.0,73,8,70,0,Green
5,8,0.0,113,3,86,3,Red
1,11,0.0,107,4,84,2,Orange
5,8,0.0,111,5,85,3,Red
30,74,0.0,73,8,70,0,Green
4,9,0.0,113,6,87,4,Black
3,12,0.0,107,10,83,2,Orange
1,12,0.0,109,4,86,3,Red
3,31,0.0,91,8,77,1,Yellow
16,57,0.0,80,6,73,0,Green
4,8,0.0,100,5,77,1,Yellow
3,6,0.0,102,9,77,1,Yellow
3,11,0.0,96,13,75,0,Green
3,31,0.0,91,8,77,1,Yellow
3,6,0.0,102,6,77,1,Yellow
8,9,0.0,96,17,75,0,Green
8,11,0.0,95,15,74,0,Green
7,8,0.0,104,10,80,1,Yellow
12,52,0.0,77,3,70,0,Green
2,22,0.0,95,5,79,1,Yellow
5,13,0.0,93,9,73,0,Green
0,51,0.0,78,5,72,0,Green
0,58,0.0,75,17,69,0,Green
0,45,0.0,82,8,74,0,Green
2,22,0.0,95,5,79,1,Yellow
3,21,0.0,93,6,77,1,Yellow
0,32,0.0,89,6,76,0,Green
3,24,0.0,95,6,79,1,Yellow
8,76,0.0,68,10,65,0,Green
1,25,0.0,95,5,79,1,Yellow
0,21,0.0,95,3,79,1,Yellow
2,23,0.0,95,4,79,1,Yellow
3,31,0.0,91,8,77,1,Yellow
3,20,0.0,95,5,79,1,Yellow
0,26,0.0,95,5,79,1,Yellow
2,17,0.0,95,6,78,1,Yellow
3,41,0.0,82,5,72,0,Green
4,7,0.0,113,3,86,3,Red
5,7,0.0,102,6,78,1,Yellow
3,17,0.0,98,8,79,1,Yellow
0,21,0.0,95,3,79,1,Yellow
4,23,0.0,95,4,79,1,Yellow
8,10,0.0,109,9,84,2,Orange
1,11,0.0,107,4,84,2,Orange
1,16,0.0,96,4,78,1,Yellow
2,14,0.0,91,4,73,0,Green
24,67,0.0,75,8,70,0,Green
3,28,0.0,84,2,72,0,Green
3,14,0.0,91,7,73,0,Green
2,13,0.0,87,4,70,0,Green
2,12,0.0,89,3,70,0,Green
1,43,0.0,82,5,74,0,Green
0,56,0.0,77,8,72,0,Green
0,51,0.0,80,7,73,0,Green
0,51,0.0,80,8,72,0,Green
0,45,0.0,82,9,73,0,Green
1,30,0.0,89,9,77,1,Yellow
1,30,0.0,89,9,76,0,Green
0,53,0.0,80,7,73,0,Green
79,65,0.0,62,5,58,0,Green
76,70,0.0,60,3,57,0,Green
76,81,0.0,55,8,54,0,Green
29,30,0.0,80,4,69,0,Green
55,64,0.0,71,4,66,0,Green
57,52,0.0,75,4,68,0,Green
55,50,0.0,75,5,68,0,Green
38,50,0.0,75,6,68,0,Green
1,24,0.0,91,5,76,0,Green
5,22,0.0,82,7,68,0,Green
30,56,0.0,82,14,75,0,Green
37,60,0.01,82,11,76,0,Green
30,56,0.0,82,5,74,0,Green
36,64,0.01,75,2,70,0,Green
37,60,0.01,82,11,76,0,Green
42,84,0.0,64,7,63,0,Green
39,68,0.0,68,6,64,0,Green
42,68,0.0,69,6,65,0,Green
43,63,0.0,71,6,65,0,Green
56,59,0.0,75,5,68,0,Green
65,61,0.0,73,6,68,0,Green
100,93,0.12,66,12,64,0,Green
36,62,0.0,77,4,71,0,Green
54,70,0.0,69,6,66,0,Green
79,87,0.03,77,7,75,0,Green
38,93,0.0,77,7,75,0,Green
97,93,0.12,68,9,67,0,Green
95,96,0.06,69,8,69,0,Green
88,96,0.05,71,8,71,0,Green
89,90,0.04,73,9,71,0,Green
94,76,0.03,73,6,69,0,Green
95,71,0.01,77,5,72,0,Green
90,93,0.04,73,5,71,0,Green
83,84,0.05,75,7,73,0,Green
85,66,0.01,77,6,71,0,Green
93,93,0.19,68,5,66,0,Green
84,62,0.01,75,5,70,0,Green
90,64,0.01,77,4,71,0,Green
96,84,0.12,73,7,70,0,Green
90,87,0.05,73,7,70,0,Green
84,81,0.05,77,5,74,0,Green
86,84,0.07,77,5,74,0,Green
6,53,0.0,84,6,76,0,Green
35,69,0.04,82,5,77,1,Yellow
8,62,0.0,82,6,76,0,Green
4,58,0.01,82,4,76,0,Green
39,60,0.0,82,6,76,0,Green
8,62,0.0,82,6,76,0,Green
53,76,0.0,78,5,75,0,Green
20,71,0.0,78,7,74,0,Green
38,67,0.0,80,4,75,0,Green
46,67,0.0,80,6,75,0,Green
98,76,0.01,75,7,72,0,Green
99,81,0.16,71,5,68,0,Green
100,93,0.29,68,7,66,0,Green
90,87,0.05,69,17,67,0,Green
75,69,0.0,75,13,70,0,Green
98,96,0.02,68,8,68,0,Green
95,81,0.1,71,10,68,0,Green
0,40,0.0,84,5,73,0,Green
1,40,0.0,84,5,73,0,Green
15,66,0.0,71,15,67,0,Green
12,60,0.0,82,5,76,0,Green
26,62,0.0,80,5,75,0,Green
33,64,0.0,80,5,75,0,Green
37,64,0.0,78,6,73,0,Green
8,62,0.0,82,5,76,0,Green
12,60,0.0,82,5,75,0,Green
12,56,0.0,82,4,76,0,Green
92,78,0.0,71,6,67,0,Green
9,63,0.0,84,7,78,1,Yellow
46,65,0.0,84,8,78,1,Yellow
8,54,0.0,84,6,76,0,Green
10,60,0.0,80,7,75,0,Green
7,58,0.0,82,6,76,0,Green
8,58,0.0,82,8,76,0,Green
12,58,0.0,84,6,78,1,Yellow
7,60,0.0,82,6,75,0,Green
6,56,0.0,84,6,77,1,Yellow
9,63,0.0,84,6,78,1,Yellow
8,58,0.0,84,5,77,1,Yellow
52,64,0.0,80,8,74,0,Green
53,69,0.0,84,11,79,1,Yellow
31,58,0.0,82,8,76,0,Green
12,63,0.0,84,7,78,1,Yellow
52,79,0.0,82,10,78,1,Yellow
50,61,0.0,86,11,79,1,Yellow
60,70,0.0,86,7,82,2,Orange
26,51,0.0,86,10,77,1,Yellow
51,59,0.0,86,8,80,1,Yellow
63,81,0.0,73,10,70,0,Green
75,68,0.0,71,10,67,0,Green
47,52,0.0,80,10,73,0,Green
18,57,0.0,84,10,76,0,Green
97,84,0.03,66,9,64,0,Green
73,68,0.05,89,10,83,2,Orange
83,77,0.05,86,7,83,2,Orange
56,70,0.08,89,8,85,3,Red
79,70,0.49,89,8,83,2,Orange
55,79,0.28,86,7,82,2,Orange
79,79,0.39,86,9,82,2,Orange
13,72,0.0,89,5,85,3,Red
31,82,0.19,86,9,84,2,Orange
70,70,0.2,89,8,84,2,Orange
62,66,0.07,91,6,86,3,Red
63,70,0.11,89,7,84,2,Orange
76,77,0.3,86,9,83,2,Orange
61,72,0.13,89,7,84,2,Orange
25,80,0.01,87,11,84,2,Orange
50,80,0.51,87,11,84,2,Orange
56,88,0.7,84,9,81,1,Yellow
50,80,0.25,87,12,84,2,Orange
62,72,0.16,89,8,85,3,Red
55,80,0.25,87,8,84,2,Orange
47,72,0.11,89,8,84,2,Orange
65,77,0.12,86,6,82,2,Orange
9,72,0.0,91,5,86,3,Red
11,70,0.0,91,5,86,3,Red
30,59,0.0,86,13,79,1,Yellow
26,65,0.0,84,13,77,1,Yellow
26,61,0.0,84,9,78,1,Yellow
55,82,0.3,86,9,83,2,Orange
44,79,0.12,86,9,83,2,Orange
34,79,0.25,86,9,84,2,Orange
23,70,0.03,89,8,85,3,Red
35,82,0.15,86,12,83,2,Orange
7,75,0.0,89,5,85,3,Red
78,70,0.39,89,7,83,2,Orange
81,77,0.17,86,6,83,2,Orange
6,70,0.0,89,8,85,3,Red
10,14,0.0,95,11,76,0,Green
0,26,0.0,95,5,79,1,Yellow
4,25,0.0,95,5,79,1,Yellow
0,31,0.0,91,6,77,1,Yellow
18,32,0.0,96,3,82,2,Orange
17,29,0.0,89,8,76,0,Green
0,50,0.0,91,7,82,2,Orange
25,57,0.0,89,6,81,1,Yellow
1,49,0.0,91,6,82,2,Orange
3,42,0.0,87,5,77,1,Yellow
0,30,0.0,93,5,79,1,Yellow
3,24,0.0,86,7,72,0,Green
1,43,0.0,87,7,77,1,Yellow
2,48,0.0,86,8,77,1,Yellow
39,35,0.0,86,6,75,0,Green
39,35,0.0,86,6,75,0,Green
0,57,0.0,84,8,77,1,Yellow
1,51,0.0,86,6,77,1,Yellow
1,51,0.0,86,9,77,1,Yellow
1,53,0.0,84,9,76,0,Green
5,48,0.0,86,7,77,1,Yellow
24,47,0.0,82,8,74,0,Green
10,8,0.0,113,6,85,3,Red
6,9,0.0,105,10,81,1,Yellow
29,17,0.0,82,9,66,0,Green
3,7,0.0,113,5,85,3,Red
5,10,0.0,102,12,78,1,Yellow
5,12,0.0,93,13,73,0,Green
4,11,0.0,100,13,77,1,Yellow
4,11,0.0,98,10,75,0,Green
8,8,0.0,105,7,80,1,Yellow
8,8,0.0,111,5,84,2,Orange
7,8,0.0,113,11,85,3,Red
9,12,0.0,96,7,75,0,Green
5,9,0.0,107,9,81,1,Yellow
7,9,0.0,109,6,84,2,Orange
4,9,0.0,109,8,83,2,Orange
4,7,0.0,114,7,86,3,Red
5,11,0.0,102,12,78,1,Yellow
5,8,0.0,109,5,83,2,Orange
8,8,0.0,111,8,84,2,Orange
8,8,0.0,111,5,84,2,Orange
8,8,0.0,113,6,85,3,Red
7,8,0.0,113,6,85,3,Red
5,8,0.0,113,5,85,3,Red
6,8,0.0,111,5,85,3,Red
4,8,0.0,109,6,83,2,Orange
7,10,0.0,107,7,82,2,Orange
6,11,0.0,98,10,75,0,Green
6,11,0.0,100,10,77,1,Yellow
5,10,0.0,96,9,74,0,Green
7,8,0.0,102,10,78,1,Yellow
6,14,0.0,105,12,83,2,Orange
11,14,0.0,91,11,72,0,Green
7,15,0.0,91,15,72,0,Green
32,20,0.0,89,5,72,0,Green
48,31,0.0,77,7,65,0,Green
5,20,0.0,93,7,75,0,Green
24,17,0.0,87,6,70,0,Green
26,14,0.0,93,6,73,0,Green
32,18,0.0,86,12,68,0,Green
9,14,0.0,95,7,74,0,Green
42,15,0.0,91,9,71,0,Green
29,16,0.0,89,5,70,0,Green
45,17,0.0,86,7,68,0,Green
10,20,0.0,86,7,70,0,Green
7,20,0.0,91,3,74,0,Green
7,20,0.0,91,3,74,0,Green
8,23,0.0,87,8,71,0,Green
12,19,0.0,84,6,68,0,Green
8,14,0.0,93,5,73,0,Green
6,15,0.0,93,3,73,0,Green
11,15,0.0,89,9,70,0,Green
7,11,0.0,104,6,81,1,Yellow
5,14,0.0,93,2,73,0,Green
8,12,0.0,95,4,73,0,Green
4,14,0.0,91,3,71,0,Green
5,15,0.0,91,3,72,0,Green
11,11,0.0,91,3,71,0,Green
2,20,0.0,82,14,65,0,Green
13,13,0.0,86,6,67,0,Green
11,13,0.0,87,10,68,0,Green
4,21,0.0,82,7,67,0,Green
1,16,0.0,93,4,75,0,Green
1,14,0.0,91,3,72,0,Green
6,17,0.0,89,6,71,0,Green
5,17,0.0,86,5,68,0,Green
5,8,0.0,104,8,79,1,Yellow
7,6,0.0,100,13,75,0,Green
