Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
19,57,25,0.0,75,4,61,0,Green
21,97,100,0.09,71,8,70,0,Green
17,57,68,0.01,86,9,80,0,Green
7,5,14,0.0,100,6,81,2,Orange
17,11,70,0.0,91,5,86,4,Black
11,0,21,0.0,100,5,84,3,Red
14,49,70,0.05,91,14,87,4,Black
15,64,68,0.06,89,12,86,4,Black
11,3,7,0.0,109,4,85,3,Red
15,3,9,0.0,109,6,84,3,Red
14,3,10,0.0,91,8,70,0,Green
12,28,70,0.06,87,3,86,4,Black
16,82,83,0.7,84,14,81,2,Orange
18,8,72,0.0,89,7,84,3,Red
15,68,78,0.1,89,10,87,4,Black
12,2,40,0.0,91,3,82,2,Orange
14,4,10,0.0,105,6,81,2,Orange
16,51,80,0.03,86,9,84,3,Red
15,11,34,0.0,96,4,84,3,Red
15,4,45,0.0,91,7,82,2,Orange
14,15,8,0.0,111,4,85,3,Red
18,34,37,0.0,62,4,53,0,Green
11,1,17,0.0,89,2,75,0,Green
12,19,10,0.0,104,6,81,2,Orange
12,21,16,0.0,89,2,74,0,Green
9,2,25,0.0,98,3,85,3,Red
13,34,17,0.0,91,5,74,0,Green
13,8,15,0.0,107,4,85,3,Red
14,73,77,0.09,84,8,81,2,Orange
14,5,9,0.0,109,6,84,3,Red
14,7,10,0.0,107,7,82,2,Orange
12,49,70,0.01,87,3,85,3,Red
17,46,68,0.29,89,5,84,3,Red
14,5,13,0.0,86,5,67,0,Green
13,0,22,0.0,89,16,74,0,Green
11,2,8,0.0,107,8,84,3,Red
14,1,17,0.0,91,2,73,0,Green
18,60,75,0.02,86,9,82,2,Orange
12,7,11,0.0,109,6,86,4,Black
18,48,77,0.0,86,8,83,2,Orange
13,7,12,0.0,104,5,81,2,Orange
18,74,77,0.33,86,4,82,2,Orange
15,10,24,0.0,80,7,65,0,Green
10,7,10,0.0,109,6,87,4,Black
12,13,73,0.0,89,3,87,4,Black
11,1,8,0.0,105,5,84,3,Red
10,3,8,0.0,91,5,73,0,Green
14,82,88,0.27,73,6,73,0,Green
13,88,75,0.0,64,3,62,0,Green
16,15,77,0.0,89,11,86,4,Black
13,5,10,0.0,109,5,84,3,Red
10,2,10,0.0,105,4,85,3,Red
15,24,52,0.0,89,4,81,2,Orange
20,40,82,0.51,84,9,81,2,Orange
10,2,16,0.0,100,5,83,2,Orange
17,8,16,0.0,87,15,69,0,Green
15,62,70,0.37,89,5,85,3,Red
17,8,16,0.0,95,2,76,0,Green
12,4,10,0.0,113,3,88,4,Black
11,28,74,0.0,84,6,81,2,Orange
14,2,15,0.0,104,5,82,2,Orange
12,9,13,0.0,86,6,70,0,Green
12,6,16,0.0,100,4,82,2,Orange
13,4,11,0.0,111,4,86,4,Black
17,50,60,0.24,91,4,84,3,Red
11,34,72,0.0,89,4,87,4,Black
13,37,72,0.01,91,11,90,4,Black
14,65,54,0.0,87,6,81,2,Orange
17,73,66,0.07,87,6,82,2,Orange
18,80,74,0.39,86,6,82,2,Orange
11,2,33,0.0,89,5,79,0,Green
11,5,21,0.0,82,9,68,0,Green
13,20,70,0.0,87,7,86,4,Black
12,11,9,0.0,104,13,81,2,Orange
21,91,100,0.42,66,1,65,0,Green
10,2,10,0.0,104,3,84,3,Red
9,24,9,0.0,100,3,81,2,Orange
11,26,72,0.0,89,6,86,4,Black
11,11,15,0.0,104,5,84,3,Red
12,1,55,0.0,84,2,80,0,Green
17,29,18,0.0,82,5,65,0,Green
12,3,9,0.0,109,3,85,3,Red
8,1,28,0.0,80,3,68,0,Green
12,4,12,0.0,107,10,84,3,Red
13,40,68,0.0,91,5,88,4,Black
10,24,80,0.02,86,4,83,2,Orange
17,23,61,0.0,89,4,82,2,Orange
11,44,80,0.04,86,3,85,3,Red
7,1,65,0.0,66,2,63,0,Green
13,35,63,0.03,89,12,86,4,Black
10,1,18,0.0,100,7,84,3,Red
11,6,11,0.0,107,10,85,3,Red
11,52,82,0.03,86,5,84,3,Red
13,8,10,0.0,109,9,84,3,Red
10,2,8,0.0,107,4,84,3,Red
17,29,68,0.0,91,5,85,3,Red
12,46,70,0.01,87,3,85,3,Red
10,2,11,0.0,104,3,85,3,Red
14,14,20,0.0,102,6,83,2,Orange
11,5,13,0.0,107,5,86,4,Black
15,5,62,0.0,60,5,56,0,Green
14,37,61,0.03,89,12,86,4,Black
11,36,82,0.01,86,3,84,3,Red
15,17,75,0.13,89,7,88,4,Black
13,64,60,0.0,91,9,85,3,Red
11,24,68,0.0,89,4,85,3,Red
21,94,87,0.0,64,4,62,0,Green
16,25,70,0.05,89,8,85,3,Red
15,9,31,0.0,93,9,81,2,Orange
10,10,9,0.0,104,2,83,2,Orange
10,7,82,0.0,86,4,84,3,Red
21,8,88,0.0,84,5,81,2,Orange
13,8,8,0.0,107,5,82,2,Orange
10,3,9,0.0,102,4,81,2,Orange
13,5,8,0.0,107,5,82,2,Orange
12,29,50,0.0,87,8,82,2,Orange
21,16,82,0.0,80,5,76,0,Green
10,3,9,0.0,107,4,86,4,Black
13,2,13,0.0,89,10,70,0,Green
9,4,21,0.0,82,3,68,0,Green
14,56,72,0.08,89,13,87,4,Black
9,10,14,0.0,102,5,84,3,Red
11,37,72,0.04,89,5,86,4,Black
11,2,13,0.0,102,6,83,2,Orange
14,12,59,0.0,89,11,85,3,Red
14,100,64,0.0,71,22,65,0,Green
13,8,15,0.0,109,2,87,4,Black
16,70,72,0.65,87,7,83,2,Orange
14,81,82,0.12,87,15,86,4,Black
14,3,11,0.0,95,6,74,0,Green
17,52,72,0.32,86,7,82,2,Orange
13,28,70,0.07,89,7,87,4,Black
15,4,12,0.0,107,3,83,2,Orange
21,22,91,0.01,82,5,81,2,Orange
12,44,66,0.02,91,6,88,4,Black
18,25,66,0.05,91,8,84,3,Red
15,42,64,0.05,89,4,86,4,Black
15,30,75,0.01,89,9,86,4,Black
15,45,61,0.02,86,4,82,2,Orange
17,33,82,0.0,82,19,78,0,Green
19,7,19,0.0,77,7,62,0,Green
16,39,68,0.04,89,6,85,3,Red
11,40,79,0.01,86,6,85,3,Red
11,1,18,0.0,100,3,83,2,Orange
14,52,79,0.41,86,9,85,3,Red
11,4,10,0.0,104,5,82,2,Orange
12,14,55,0.0,87,3,83,2,Orange
14,15,9,0.0,113,2,86,4,Black
11,7,13,0.0,109,5,88,4,Black
20,12,17,0.0,84,3,66,0,Green
17,50,66,0.0,87,12,82,2,Orange
13,17,32,0.0,95,6,84,3,Red
9,2,26,0.0,98,2,86,4,Black
10,3,11,0.0,105,3,85,3,Red
19,84,81,0.01,71,5,67,0,Green
16,45,57,0.0,89,7,83,2,Orange
19,93,93,0.02,68,8,67,0,Green
16,9,13,0.0,96,3,74,0,Green
13,6,8,0.0,107,3,82,2,Orange
14,32,70,0.18,89,6,88,4,Black
15,24,62,0.0,91,4,87,4,Black
14,6,9,0.0,105,10,81,2,Orange
13,40,62,0.02,91,7,88,4,Black
19,14,63,0.0,80,5,74,0,Green
13,17,16,0.0,100,5,81,2,Orange
12,62,77,0.17,86,5,84,3,Red
11,5,11,0.0,105,9,83,2,Orange
11,1,27,0.0,82,3,71,0,Green
12,3,15,0.0,80,5,66,0,Green
10,2,14,0.0,107,4,88,4,Black
10,17,85,0.0,84,4,82,2,Orange
11,6,11,0.0,107,7,84,3,Red
12,11,14,0.0,105,4,84,3,Red
10,32,83,0.0,86,3,84,3,Red
15,22,66,0.03,91,8,86,4,Black
10,3,21,0.0,75,3,64,0,Green
10,3,11,0.0,104,6,84,3,Red
16,42,65,0.0,86,10,82,2,Orange
17,65,77,0.12,86,6,82,2,Orange
14,5,9,0.0,113,5,87,4,Black
10,10,21,0.0,104,4,88,4,Black
12,1,25,0.0,95,6,81,2,Orange
13,6,9,0.0,91,9,69,0,Green
18,81,82,0.05,84,6,81,2,Orange
16,41,16,0.0,84,9,67,0,Green
13,50,73,0.04,89,3,87,4,Black
16,40,79,0.05,89,11,86,4,Black
9,2,8,0.0,100,2,80,0,Green
12,20,68,0.0,91,6,88,4,Black
9,1,12,0.0,102,6,83,2,Orange
14,36,68,0.01,87,6,85,3,Red
16,46,73,0.15,87,6,84,3,Red
11,6,11,0.0,104,5,83,2,Orange
18,37,64,0.03,89,5,83,2,Orange
14,32,70,0.0,89,6,87,4,Black
14,21,52,0.0,87,5,81,2,Orange
15,95,77,0.7,84,13,81,2,Orange
10,2,61,0.0,86,8,81,2,Orange
13,46,66,0.76,89,8,86,4,Black
9,2,14,0.0,102,2,85,3,Red
8,4,12,0.0,104,10,83,2,Orange
11,17,70,0.0,87,2,85,3,Red
16,6,72,0.0,64,3,60,0,Green
15,2,12,0.0,104,7,81,2,Orange
14,39,65,0.0,86,5,83,2,Orange
10,33,78,0.0,87,3,85,3,Red
13,3,53,0.0,89,5,84,3,Red
14,3,8,0.0,107,4,82,2,Orange
12,4,51,0.0,86,3,81,2,Orange
13,28,70,0.06,89,7,87,4,Black
12,9,41,0.0,91,7,83,2,Orange
17,59,70,0.13,89,4,84,3,Red
11,2,17,0.0,82,6,69,0,Green
14,19,68,0.0,89,2,86,4,Black
15,3,19,0.0,87,6,71,0,Green
14,60,79,0.17,89,12,88,4,Black
13,2,44,0.0,87,5,81,2,Orange
16,9,15,0.0,100,5,78,0,Green
9,8,11,0.0,102,3,83,2,Orange
10,24,82,0.01,80,2,78,0,Green
16,66,77,0.39,86,9,84,3,Red
13,41,75,0.1,89,14,87,4,Black
11,2,7,0.0,109,5,85,3,Red
13,28,64,0.01,89,5,87,4,Black
14,50,70,0.0,89,3,86,4,Black
20,86,97,1.38,68,15,67,0,Green
14,5,6,0.0,111,4,84,3,Red
17,53,66,0.52,89,6,84,3,Red
17,57,71,0.09,89,7,84,3,Red
10,2,12,0.0,107,4,87,4,Black
19,2,51,0.0,71,2,64,0,Green
19,57,82,0.29,84,3,81,2,Orange
13,46,73,0.28,89,5,87,4,Black
13,1,53,0.0,86,6,81,2,Orange
11,6,9,0.0,113,6,88,4,Black
15,1,17,0.0,98,7,78,0,Green
13,64,75,0.26,87,7,86,4,Black
15,70,72,0.0,86,8,83,2,Orange
17,20,64,0.0,89,4,83,2,Orange
10,8,83,0.0,84,2,83,2,Orange
13,41,75,0.0,86,9,85,3,Red
16,37,70,0.03,86,6,83,2,Orange
20,61,93,0.34,73,3,72,0,Green
14,7,8,0.0,109,6,83,2,Orange
14,35,68,0.0,87,11,84,3,Red
10,2,9,0.0,109,6,87,4,Black
12,16,70,0.0,89,5,88,4,Black
10,4,10,0.0,104,9,84,3,Red
17,5,11,0.0,89,7,68,0,Green
9,33,11,0.0,102,2,82,2,Orange
8,1,9,0.0,96,2,77,0,Green
18,50,74,0.51,87,11,83,2,Orange
13,79,90,0.03,71,5,71,0,Green
13,6,10,0.0,113,3,87,4,Black
19,9,21,0.0,75,5,60,0,Green
13,58,85,0.19,84,11,84,3,Red
14,4,23,0.0,95,5,81,2,Orange
8,37,51,0.02,87,14,80,0,Green
16,29,70,0.0,89,6,85,3,Red
15,97,83,0.61,84,15,81,2,Orange
15,7,9,0.0,107,8,81,2,Orange
9,3,27,0.0,77,6,67,0,Green
16,61,79,0.3,86,9,84,3,Red
17,30,72,0.0,89,6,84,3,Red
18,15,35,0.0,84,2,71,0,Green
17,74,70,0.49,89,4,84,3,Red
18,8,19,0.0,80,5,63,0,Green
16,39,66,0.0,91,13,85,3,Red
17,36,72,0.0,89,6,84,3,Red
14,19,80,0.01,87,9,87,4,Black
15,49,78,0.5,89,12,87,4,Black
11,6,16,0.0,104,4,85,3,Red
16,89,94,0.03,68,5,68,0,Green
17,50,76,0.0,73,16,69,0,Green
9,2,21,0.0,98,2,84,3,Red
15,63,71,0.12,89,12,86,4,Black
16,4,15,0.0,71,13,56,0,Green
13,22,68,0.0,91,7,89,4,Black
14,43,66,0.01,89,4,86,4,Black
10,20,73,0.0,89,6,86,4,Black
18,2,55,0.0,73,6,65,0,Green
13,53,77,0.39,87,9,87,4,Black
13,40,70,0.0,91,6,88,4,Black
18,44,75,0.1,86,2,81,2,Orange
18,20,26,0.0,57,4,47,0,Green
18,34,75,0.03,89,9,84,3,Red
11,3,11,0.0,102,5,81,2,Orange
8,17,20,0.0,98,2,82,2,Orange
18,2,16,0.0,73,3,57,0,Green
13,25,62,0.0,91,4,87,4,Black
10,38,78,0.01,87,5,85,3,Red
16,100,90,0.12,71,6,69,0,Green
11,2,12,0.0,102,7,82,2,Orange
14,22,60,0.0,93,4,89,4,Black
11,1,18,0.0,100,8,83,2,Orange
14,51,57,0.0,89,12,84,3,Red
18,49,80,0.02,86,12,83,2,Orange
11,14,65,0.0,87,2,84,3,Red
12,10,16,0.0,109,2,88,4,Black
14,39,77,0.21,89,12,88,4,Black
15,38,77,0.02,87,7,86,4,Black
18,59,78,0.02,87,8,84,3,Red
16,54,63,0.5,89,6,84,3,Red
18,46,72,0.34,86,4,82,2,Orange
13,0,51,0.0,78,7,72,0,Green
16,29,62,0.17,91,3,85,3,Red
8,11,27,0.0,84,3,73,0,Green
18,53,21,0.0,77,8,61,0,Green
8,0,34,0.0,78,4,70,0,Green
12,29,77,0.0,86,5,86,4,Black
15,7,15,0.0,91,15,72,0,Green
10,18,77,0.02,86,6,84,3,Red
12,47,75,0.0,86,2,85,3,Red
10,2,9,0.0,104,5,84,3,Red
12,35,68,0.01,91,8,88,4,Black
18,3,18,0.0,95,9,76,0,Green
12,3,8,0.0,107,5,82,2,Orange
13,2,26,0.0,89,3,74,0,Green
10,5,8,0.0,107,8,84,3,Red
15,47,75,0.12,87,9,85,3,Red
13,11,10,0.0,111,6,85,3,Red
17,21,71,0.0,82,3,78,0,Green
14,6,13,0.0,98,10,77,0,Green
13,9,7,0.0,111,13,84,3,Red
19,35,67,0.0,82,4,76,0,Green
13,16,66,0.0,91,7,88,4,Black
16,100,72,0.03,77,14,72,0,Green
10,2,13,0.0,104,2,86,4,Black
14,48,74,0.06,86,8,85,3,Red
18,49,80,0.0,82,11,78,0,Green
13,27,70,0.0,89,5,87,4,Black
14,19,65,0.0,84,10,81,2,Orange
10,18,77,0.02,86,5,84,3,Red
10,3,77,0.0,87,3,85,3,Red
18,3,25,0.0,66,7,53,0,Green
13,75,77,0.42,87,7,86,4,Black
13,47,74,0.02,86,22,83,2,Orange
13,18,36,0.0,95,2,86,4,Black
13,1,10,0.0,109,4,84,3,Red
13,87,73,0.0,68,7,66,0,Green
13,54,54,0.03,91,10,85,3,Red
17,94,82,0.03,73,14,70,0,Green
16,28,72,0.01,89,7,85,3,Red
14,28,66,0.0,77,8,75,0,Green
13,92,78,0.0,68,7,66,0,Green
13,5,10,0.0,113,6,87,4,Black
16,41,72,0.0,89,6,85,3,Red
14,3,25,0.0,93,5,78,0,Green
15,34,62,0.42,91,5,86,4,Black
9,2,15,0.0,86,6,72,0,Green
13,19,33,0.0,93,9,83,2,Orange
13,12,57,0.0,84,5,81,2,Orange
11,45,75,0.38,86,8,84,3,Red
13,5,7,0.0,111,5,84,3,Red
14,68,72,0.18,89,9,87,4,Black
11,2,15,0.0,98,3,81,2,Orange
12,42,70,0.01,87,3,85,3,Red
11,3,10,0.0,109,3,86,4,Black
13,23,68,0.0,89,4,87,4,Black
12,5,7,0.0,105,2,82,2,Orange
13,27,72,0.0,89,5,88,4,Black
10,3,52,0.0,87,8,81,2,Orange
17,8,62,0.0,82,5,76,0,Green
12,26,80,0.0,86,4,85,3,Red
12,66,100,0.05,53,11,53,0,Green
12,2,27,0.0,71,3,61,0,Green
10,3,18,0.0,98,4,82,2,Orange
13,60,77,0.04,87,6,87,4,Black
11,5,9,0.0,109,6,86,4,Black
10,3,10,0.0,105,5,85,3,Red
10,2,21,0.0,98,4,84,3,Red
11,6,13,0.0,109,2,88,4,Black
15,33,54,0.0,91,13,85,3,Red
12,6,9,0.0,111,5,86,4,Black
17,29,68,0.1,89,2,83,2,Orange
15,8,9,0.0,109,4,83,2,Orange
13,46,66,0.02,91,9,89,4,Black
19,14,70,0.0,82,3,77,0,Green
11,22,74,0.01,82,3,81,2,Orange
13,4,8,0.0,109,9,83,2,Orange
12,36,77,0.03,89,9,87,4,Black
15,49,43,0.0,93,8,83,2,Orange
11,4,9,0.0,111,7,87,4,Black
16,49,68,0.09,91,9,86,4,Black
12,5,15,0.0,100,7,81,2,Orange
14,17,64,0.0,87,12,83,2,Orange
11,16,74,0.0,87,5,85,3,Red
21,51,82,0.01,86,12,82,2,Orange
10,4,16,0.0,104,4,86,4,Black
18,2,56,0.0,78,5,71,0,Green
16,34,78,0.01,89,6,86,4,Black
14,6,8,0.0,89,8,68,0,Green
15,43,78,0.17,86,4,85,3,Red
16,52,61,0.06,89,3,84,3,Red
16,56,68,0.11,91,9,86,4,Black
14,33,57,0.0,89,6,85,3,Red
14,8,8,0.0,111,8,84,3,Red
14,21,64,0.01,89,8,87,4,Black
14,3,10,0.0,113,5,86,4,Black
13,41,72,0.18,89,9,88,4,Black
14,82,70,0.24,89,12,86,4,Black
11,6,11,0.0,109,6,87,4,Black
10,36,70,0.01,86,12,82,2,Orange
11,4,7,0.0,111,14,85,3,Red
13,8,13,0.0,111,3,86,4,Black
15,56,56,0.0,89,7,84,3,Red
13,5,10,0.0,105,3,82,2,Orange
13,4,10,0.0,104,5,81,2,Orange
11,1,33,0.0,66,3,60,0,Green
15,25,62,0.0,91,4,86,4,Black
13,45,70,0.0,86,7,85,3,Red
12,3,11,0.0,96,4,77,0,Green
14,5,13,0.0,107,4,82,2,Orange
12,19,18,0.0,100,5,82,2,Orange
13,71,79,0.04,80,2,79,0,Green
10,5,10,0.0,109,6,87,4,Black
10,3,14,0.0,109,2,89,4,Black
18,9,17,0.0,69,2,55,0,Green
14,48,72,0.39,87,8,85,3,Red
13,8,9,0.0,113,5,87,4,Black
16,69,68,0.15,91,11,86,4,Black
10,5,11,0.0,104,5,84,3,Red
11,4,10,0.0,111,9,87,4,Black
14,14,61,0.0,86,6,81,2,Orange
12,100,87,0.02,66,5,64,0,Green
16,15,24,0.0,51,10,42,0,Green
12,5,11,0.0,109,4,85,3,Red
12,4,10,0.0,111,2,87,4,Black
12,28,80,0.01,87,7,87,4,Black
12,8,9,0.0,111,5,86,4,Black
8,2,9,0.0,96,2,77,0,Green
14,5,8,0.0,111,4,84,3,Red
12,8,8,0.0,111,5,86,4,Black
